SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
VK2/CT-059,Australia - NSW,Central Tablelands,Goat Mountain,940,3084,150.1699,-32.6536,150.1699,-32.6536,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-060,Australia - NSW,Central Tablelands,Mount Coolcalwin,940,3084,150.1416,-32.8081,150.1416,-32.8081,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-061,Australia - NSW,Central Tablelands,Jimmy Jimmy Mountain,936,3071,149.9672,-32.6126,149.9672,-32.6126,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-062,Australia - NSW,Central Tablelands,Davids Mountain,920,3018,150.026,-32.5688,150.0260,-32.5688,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-063,Australia - NSW,Central Tablelands,Elephant Mountain,913,2995,149.9596,-32.6511,149.9596,-32.6511,6,0,01/09/2013,31/12/2099,0,,,
VK2/CT-064,Australia - NSW,Central Tablelands,Tongbong Mountain,897,2943,149.9425,-32.7258,149.9425,-32.7258,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-065,Australia - NSW,Central Tablelands,VK2/CT-065,877,2877,150.1675,-33.2445,150.1675,-33.2445,4,0,01/09/2013,31/12/2099,2,19/12/2016,VK2JDL/P,
VK2/CT-066,Australia - NSW,Central Tablelands,VK2/CT-066,870,2854,150.1627,-33.766,150.1627,-33.7660,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-067,Australia - NSW,Central Tablelands,Tonalli Mountain,865,2838,150.1796,-34.0912,150.1796,-34.0912,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-068,Australia - NSW,Central Tablelands,VK2/CT-068,861,2825,149.4291,-32.6434,149.4291,-32.6434,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-069,Australia - NSW,Central Tablelands,VK2/CT-069,861,2825,149.5349,-33.2101,149.5349,-33.2101,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-070,Australia - NSW,Central Tablelands,Yerranderie Peak,861,2825,150.2074,-34.1245,150.2074,-34.1245,4,0,01/09/2013,31/12/2099,1,26/09/2016,VK2WTY/P,
VK2/CT-071,Australia - NSW,Central Tablelands,VK2/CT-071,860,2822,150.2361,-34.0635,150.2361,-34.0635,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-072,Australia - NSW,Central Tablelands,VK2/CT-072,852,2795,150.0536,-32.5492,150.0536,-32.5492,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-073,Australia - NSW,Central Tablelands,Lords Mountain,845,2772,150.0428,-34.2875,150.0428,-34.2875,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-074,Australia - NSW,Central Tablelands,VK2/CT-074,840,2756,150.2184,-33.1226,150.2184,-33.1226,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-075,Australia - NSW,Central Tablelands,VK2/CT-075,840,2756,149.1058,-34.0034,149.1058,-34.0034,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-076,Australia - NSW,Central Tablelands,VK2/CT-076,836,2743,149.4226,-32.6264,149.4226,-32.6264,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-077,Australia - NSW,Central Tablelands,VK2/CT-077,832,2730,149.1667,-32.8906,149.1667,-32.8906,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-078,Australia - NSW,Central Tablelands,Porcupine Mountain,830,2723,150.0117,-32.5304,150.0117,-32.5304,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-079,Australia - NSW,Central Tablelands,VK2/CT-079,820,2690,149.4122,-32.5695,149.4122,-32.5695,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-080,Australia - NSW,Central Tablelands,VK2/CT-080,800,2625,150.1983,-33.7965,150.1983,-33.7965,4,0,01/09/2013,31/12/2099,3,31/08/2018,VK2GPL/P,
VK2/CT-081,Australia - NSW,Central Tablelands,Mount Davies,796,2612,149.131,-33.934,149.1310,-33.9340,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-082,Australia - NSW,Central Tablelands,Mount Tootie,794,2605,150.5023,-33.4629,150.5023,-33.4629,4,0,01/09/2013,31/12/2099,8,20/05/2016,VK2IO/P,
VK2/CT-083,Australia - NSW,Central Tablelands,Bull Island Peak,791,2595,150.2277,-34.0756,150.2277,-34.0756,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-084,Australia - NSW,Central Tablelands,Mount Buckaroo,790,2592,149.6628,-32.5695,149.6628,-32.5695,4,0,01/09/2013,31/12/2099,1,04/10/2013,VK2GEL,
VK2/CT-085,Australia - NSW,Central Tablelands,VK2/CT-085,780,2559,150.276,-34.0556,150.2760,-34.0556,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-086,Australia - NSW,Central Tablelands,VK2/CT-086,770,2526,149.7421,-32.7103,149.7421,-32.7103,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-087,Australia - NSW,Central Tablelands,Mount Frome,749,2457,149.6553,-32.6166,149.6553,-32.6166,4,0,01/09/2013,31/12/2099,1,26/03/2016,VK2HRX,
VK2/CT-088,Australia - NSW,Central Tablelands,Green Wattle Mountain,736,2415,150.2663,-34.0218,150.2663,-34.0218,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-089,Australia - NSW,Central Tablelands,Wedding Cake Mountain,700,2297,150.2895,-32.5499,150.2895,-32.5499,4,0,01/09/2013,31/12/2099,0,,,
VK2/CT-090,Australia - NSW,Central Tablelands,Black Mountain,699,2293,149.0991,-32.6062,149.0991,-32.6062,2,0,01/09/2013,31/12/2099,0,,,
VK2/CT-091,Australia - NSW,Central Tablelands,Sugarloaf Mountain,680,2231,148.9989,-33.9142,148.9989,-33.9142,2,0,01/09/2013,31/12/2099,0,,,
VK2/CT-092,Australia - NSW,Central Tablelands,Torrani Mountain,677,2221,150.3127,-32.5483,150.3127,-32.5483,2,0,01/09/2013,31/12/2099,0,,,
VK2/CT-093,Australia - NSW,Central Tablelands,Stormy Ridge,660,2165,150.0631,-32.5049,150.0631,-32.5049,2,0,01/09/2013,31/12/2099,0,,,
VK2/CT-094,Australia - NSW,Central Tablelands,VK2/CT-094,660,2165,150.1063,-32.5347,150.1063,-32.5347,2,0,01/09/2013,31/12/2099,0,,,
VK2/CT-095,Australia - NSW,Central Tablelands,VK2/CT-095,641,2103,150.3559,-32.4912,150.3559,-32.4912,2,0,01/09/2013,31/12/2099,0,,,
VK2/CT-096,Australia - NSW,Central Tablelands,Upper Bylong,640,2100,150.1033,-32.4864,150.1033,-32.4864,2,0,01/09/2013,31/12/2099,0,,,
VK2/CT-097,Australia - NSW,Central Tablelands,Mailmans Gap,630,2067,150.3113,-32.5114,150.3113,-32.5114,2,0,01/09/2013,31/12/2099,0,,,
